tm,ZP,CMD,XJ,ML,SP,GC,MT,DX,LY,MTG,HNC,HJ,LCK,LS,OBS
2026/1/3 5:00,0,0,5.325397,0,0,0,0,0,0,0,0,0,0,0,51.96782
2026/1/3 6:00,0,5.131309,0,0,0,0,0,0,0,0,0,0,0,0,60.99621
2026/1/3 7:00,0,0,0,0,0,0,0,0,0,0,5.966876,0,0,0,65.41527
2026/1/3 8:00,0.76788,0,4.607283,0,4.607283,0,0,0,0,0,0,0,0,0,66.58583
2026/1/3 9:00,0,0,0,0,0,0,0,0,1.2,0,0,0,1.8,0,71.77339
2026/1/3 10:00,0,0,0,0,6.147651,0,0,2.766444,0,0,2.459059,1.844296,0,0,72.19461
2026/1/3 11:00,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,71.94529
2026/1/3 12:00,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,71.71054
2026/1/3 13:00,0.932396,0.299699,0.199799,0.199799,0,1.531794,0.332998,1.298695,0,0.399599,0,0,0,0.599398,72.74486
2026/1/3 14:00,0,1.219712,0,0,0,0,0,0,0,0,0,0,0,2.293779,73.52227
2026/1/3 15:00,0,0,0,0,0,0,0,0,0,1.974383,0,0,0,0,72.69011
2026/1/3 16:00,0,3.610073,0,0,0,0,0,0,0,1.033333,0,0,0,0,74.33261
2026/1/3 17:00,0,0.375655,0,0,0,0,0,0,0,0,0,0,0,0.853145,75.79768
2026/1/3 18:00,1.014692,0,0,0,0,0,0,0,0,0,0,0,0,0,76.10028
2026/1/3 19:00,0,0,0,0,0.533333,0,0,0,0,0,0,0,0,0,76.70364
2026/1/3 20:00,0,0.122222,0,0,0,0,0,0,0,0,0,0.055555,0,0.14,81.53384
2026/1/3 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.49961
2026/1/3 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.84322
2026/1/3 23:00,0,0,0,0,0,0.155555,0.033333,0.533333,0,0,0.122222,0,0,0.766667,89.1378
2026/1/4 0:00,0,0,0,0,0,0,0,0,0,0,0.05,0.083333,0,0,86.97601
2026/1/4 1:00,0,0.161111,0.261111,0,0.233333,0,0.25,0.205556,0.194444,0.08,0,0,0,0,87.01333
2026/1/4 2:00,0,0.216667,0.155555,0,0,0,0.033333,0,0,0,0,0,0,0,84.51546
2026/1/4 3:00,0.542434,0,0,0,0,0,0,0,0,0,0,0,0,0,82.34392
2026/1/4 4:00,0,0.40606,0.023739,0,0.126019,0.042006,0,0,0.094514,0.084012,0,0,0,0,81.92585
2026/1/4 5:00,0,0,0,0.233333,0,0,0.766667,0,0,0,0,0,0,0,79.13618
2026/1/4 6:00,0.05,0.05,0,0,0.188889,0.288889,0.8,0.086667,0,0,0,0,0,0,76.83027
2026/1/4 7:00,0,0,0,0,0,0,0,0,0,0.158052,0,0,0,0,74.33369
2026/1/4 8:00,0,0,0.188889,0.083333,0,0,0,0,0,0,0,0,0,0,71.71743
2026/1/4 9:00,0.144444,0,0.20256,0.077778,0,0.6,0,0.099135,0.4,0.220838,0.133333,0,0.033333,0,69.11754
2026/1/4 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.61879
2026/1/4 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.47729
2026/1/4 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.21084
2026/1/4 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.62121
2026/1/4 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.64246
2026/1/4 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7852
2026/1/4 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.09024
2026/1/4 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.87255
2026/1/4 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.88689
2026/1/4 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.08148
2026/1/4 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.46134
2026/1/4 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.69148
2026/1/4 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.98984
2026/1/4 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3545
2026/1/5 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.78274
2026/1/5 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.27196
2026/1/5 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.81968
2026/1/5 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.42351
2026/1/5 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.08117
2026/1/5 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.79048
2026/1/5 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.54934
2026/1/5 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.35574
2026/1/5 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.20778
2026/1/5 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.10359
2026/1/5 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.04143
2026/1/5 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.01961
2026/1/5 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0365
2026/1/5 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.09056
2026/1/5 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.18029
2026/1/5 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.30427
2026/1/5 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.46115
2026/1/5 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.64959
2026/1/5 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86836
2026/1/5 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.11625
2026/1/5 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3921
2026/1/5 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6948
2026/1/5 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0233
2026/1/5 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.37658
2026/1/6 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.75365
2026/1/6 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15359
2026/1/6 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5755
2026/1/6 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.01851
2026/1/6 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48179
2026/1/6 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.96456
2026/1/6 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.46605
2026/1/6 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98553
2026/1/6 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5223
2026/1/6 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.07569
2026/1/6 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64506
2026/1/6 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22978
2026/1/6 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82925
2026/1/6 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.44292
2026/1/6 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07022
2026/1/6 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.71064
2026/1/6 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36367
2026/1/6 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02883
2026/1/6 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.70564
2026/1/6 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39367
2026/1/6 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09248
2026/1/6 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.80166
2026/1/6 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52082
2026/1/6 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24958
2026/1/7 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98757
2026/1/7 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73444
2026/1/7 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.489854
2026/1/7 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25349
2026/1/7 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.025037
2026/1/7 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.804197
2026/1/7 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.590683
2026/1/7 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38422
2026/1/7 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.184544
2026/1/7 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9914
2026/1/7 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.804545
2026/1/7 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.623744
2026/1/7 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.448771
2026/1/7 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27941
2026/1/7 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.115454
2026/1/7 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.956701
2026/1/7 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80296
2026/1/7 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.654046
2026/1/7 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.509782
2026/1/7 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.369996
2026/1/7 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.234526
2026/1/7 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.103212
2026/1/7 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.975905
2026/1/7 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.852458
2026/1/8 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.732731
2026/1/8 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.616589
2026/1/8 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.503903
2026/1/8 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.394549
2026/1/8 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.288406
2026/1/8 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.185361
2026/1/8 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.085301
2026/1/8 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.988122
2026/1/8 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89372
2026/1/8 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.801996
2026/1/8 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.712858
2026/1/8 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.626212
2026/1/8 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.541973
2026/1/8 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.460055
2026/1/8 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.380378
2026/1/8 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.302863
2026/1/8 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.227436
2026/1/8 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.154025
2026/1/8 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08256
2026/1/8 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.012974
2026/1/8 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.945204
2026/1/8 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.879186
2026/1/8 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.814863
2026/1/8 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.752176
2026/1/9 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.691071
2026/1/9 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.631494
2026/1/9 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.573394
2026/1/9 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.516723
2026/1/9 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.461433
2026/1/9 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.407478
2026/1/9 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.354815
2026/1/9 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3034
2026/1/9 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253195
2026/1/9 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.204159
2026/1/9 10:00,2.943672,0,0,0,0,0,0,0,0,0,0,0,0,0,3.156255
2026/1/9 11:00,0,0.132514,0,0,0,1.930915,1.817331,0.530055,0,0.927596,0.454333,1.817331,0.530055,0.738291,3.109447
2026/1/9 12:00,4.249556,0.30354,0,0,0,0,0,0,0,0,0,0,0,0,3.063699
2026/1/9 13:00,4.783178,0,0,0,0,0,0,0,0,0,0,0,0,0,3.018979
2026/1/9 14:00,2.800002,0,0.3,0,0,0,0,0,0,0,0,0,0,0,2.975252
2026/1/9 15:00,0.312253,0,0.832676,0.156127,0.624507,0,0.156127,0.156127,0,0,0,0,0,0,2.932489
2026/1/9 16:00,1.975937,0,0,0,0,0,0,0,0,0,0,0,0,0,2.890659
2026/1/9 17:00,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,2.849734
2026/1/9 18:00,0.454385,0,0,0,0,0,0,0,0,0,0,0,0,0,2.809684
2026/1/9 19:00,0,0,0,0,0,0,0,0.249738,0,0,0,0,0,0,2.770484
2026/1/9 20:00,1.966667,0,0,0.9,0,0,0,0.266667,0,1.033333,0,0,0.690314,0.14,2.732107
2026/1/9 21:00,0,0.099917,0,0,0,0,0,0.599505,0,0.931631,0.384591,0.138347,0,0,2.694528
2026/1/9 22:00,0,2.939047,0,0,0,0,0,0,0,0,0,0,0,0,3.201738
2026/1/9 23:00,0,0,0,1.791772,0,0,0.149314,0,0,0.149314,0,0,0,0,6.893465
2026/1/10 0:00,0.166667,0,0,0,0.133333,0.083333,0.12,0,0.219719,0.077778,0.1,0,0,0,9.567172
2026/1/10 1:00,0,0,0,0.233333,2.010811,0.183333,0.566667,0.055555,0.077778,0.272222,0.033333,0,0.08,0.566667,12.56042
2026/1/10 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29717
2026/1/10 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.52212
2026/1/10 4:00,0,0,0,0,0,0,0,0,0.216667,0,0.166667,0,0,0.075,16.28653
2026/1/10 5:00,0,0.033333,0.033333,0,0,0.033333,0,0.088889,0,0,0,0,0,0,16.31912
2026/1/10 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0378
2026/1/10 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57856
2026/1/10 8:00,0,0.433333,0,0,0,0,0,0,0,0,0,0,0,0,18.1734
2026/1/10 9:00,0,0,0,0,0,0.206667,0,0,0,0,0,0,0,0,18.5839
2026/1/10 10:00,0.111111,0.155555,0,0.033333,0.144444,0.172222,0.766667,0.055555,0.088889,0.066667,0.187402,0,0.166667,0.316667,19.66932
2026/1/10 11:00,0,0,0,0,0,0,0,0,0,0.152618,0,0,0,0,21.45044
2026/1/10 12:00,0.066667,0.155555,0.092809,0.033333,0.125,0.033333,0,0.033333,0.044445,0,0,0,0.103168,0.12,21.35808
2026/1/10 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.27917
2026/1/10 14:00,0.527778,0.776605,0.077778,0,0.766667,0,0,0.666667,0,0,0,0,0,0,22.48057
2026/1/10 15:00,0,0.19742,0,1.579362,0,0,0,0,0,1.480652,0,0.690971,0,0,21.71473
2026/1/10 16:00,0,0,1.151872,0.628293,0,0,3.141466,0,0,1.256586,1.621473,0,0,0,21.19826
2026/1/10 17:00,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,20.56131
2026/1/10 18:00,0,0,0,0,0,2.4,2.691465,0,0,0,0,0,0,0,19.87439
2026/1/10 19:00,0,0,0,0,0,0,0,4.000002,0,0,2.800002,4.000002,1.2,1.2,19.21525
2026/1/10 20:00,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,18.74834
2026/1/10 21:00,0,0,6.77658,0,0,0,0,0,0,0,1.983389,0,0,0,18.21914
2026/1/10 22:00,0,3.318777,0.756914,0,0.873362,0.582242,0.635647,0,1.746725,0,0,0,0.320233,0,18.64571
2026/1/10 23:00,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,18.09329
2026/1/11 0:00,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,17.82257
2026/1/11 1:00,0,23.10131,0,0,0,0,0,0,0,0,0,0,0,0,17.24996
2026/1/11 2:00,0,0,0,0,0,4.183175,1.67327,0.836635,11.64317,0.836635,0.836635,0,0.836635,0,17.83879
2026/1/11 3:00,0,1.2,0,0,1.2,0,0,0,0,0,1.2,1.2,0,1.8,20.09258
2026/1/11 4:00,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,26.57698
2026/1/11 5:00,0,0,0,0,0,0,19.09067,0,0,0,0,0,0,0,28.32153
2026/1/11 6:00,0,0,2.197601,4.802318,1.154305,0.057715,1.789173,0,0.173146,0.808014,0,0,0,0,32.25573
2026/1/11 7:00,0,1.358222,0,0,0,0,0,0,3.112591,0,0,0,0,0,38.47116
2026/1/11 8:00,0,0,0,0.05,0.066667,0,0.466667,0,0,1.893929,0,1.333333,0,0.966667,38.24802
2026/1/11 9:00,0,0,0,0.061042,0.198386,0.132257,0,0.22382,0.132257,0,0.061042,0,0.061042,0,44.23458
2026/1/11 10:00,0,0,0,0,0,0,0,0,0,0,0,1.191266,0,0,49.52033
2026/1/11 11:00,0,1.313726,0,0.262745,1.401308,0,0,0,0,0.525491,0,0,0,0,49.45868
2026/1/11 12:00,0,0,0,0,0,0,0,0,0,0,0,3.382378,0,0,54.77452
2026/1/11 13:00,0,0.234442,0.7424,1.113601,0.234442,1.015917,1.523875,1.05499,1.015917,0.468885,0.547032,0.586106,0,0.234442,70.06052
2026/1/11 14:00,0,0,0,0,0,0,0,4.000002,0,0,0,0,0,0,87.31012
2026/1/11 15:00,0,0.309964,0.250923,0.132842,0.283395,0,0,0.324724,0,0,1.416977,0.442805,0,0.369004,87.54679
2026/1/11 16:00,0,0,0,0,0,0,1.063453,0,0.181488,0,0,0.362975,0.181488,0,85.38464
2026/1/11 17:00,0,0.238889,0.033333,0,0,0,0.088889,0,0,0.033333,0,0,0.033333,0,107.5502
2026/1/11 18:00,0,0,0,0,0,0,0,0,0,0,0,0.133333,0,0,117.5955
2026/1/11 19:00,0,0,0,0,0,0,0,0.124869,0,0,0,0,0,0,117.2932
2026/1/11 20:00,0,0,0,0.166667,0.166667,0.105556,0.1,0.266667,0.216667,0.066667,0.155555,0.158333,0.733333,0.216667,115.8078
2026/1/11 21:00,0.073996,0,0,0,0,0,0,0,0,0,0,0,0,0,112.1073
2026/1/11 22:00,0.966667,0.238889,0.166667,0.566667,0.666667,0.080556,0,0.111362,0,0.033333,0.125,0.093333,0.05,0.363044,108.7398
2026/1/11 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.2141
2026/1/12 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.6878
2026/1/12 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.1962
2026/1/12 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.8168
2026/1/12 3:00,0,0,0,0,0,0,0,0,0,0.258333,0,0,0,0,106.0687
2026/1/12 4:00,0.25,0,0.027778,0,0,0,0,0.191667,0,0,0.033333,0,0,0,103.9469
2026/1/12 5:00,0,0,0,0,0,0,0,0,0,0.232395,0,0,0,0,100.426
2026/1/12 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.80873
2026/1/12 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.28953
2026/1/12 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.15038
2026/1/12 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.85731
2026/1/12 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.84467
2026/1/12 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.67884
2026/1/12 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.63747
2026/1/12 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.71549
2026/1/12 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.90802
2026/1/12 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.30563
2026/1/12 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.89997
2026/1/12 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.47834
2026/1/12 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.07127
2026/1/12 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.75798
2026/1/12 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.53465
2026/1/12 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.39765
2026/1/12 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.34348
2026/1/12 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3688
2026/1/13 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4704
2026/1/13 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6452
